name,description
Agira,Agira owns highly efficient and low cost optics technology for solar panels.
Gamenetech,"Gamenetech offers fun rewarding networking experiences available to everyone with a beautiful, simple UI  fun rewards, and progress trackers"
BrightBytes,Teaching teachers to use technology
Planetary Emissions Management,"We can provide the ""missing link"" in global atmospheric management with its significant market value -- enabling positive revenue with GHG potential reduction."
MobiStine,Do you care about your pregnant relative? We do care too; MobiStine provides trusted healthcare apps for new parents for better healthy life
"nQ Medical, Inc.","End-to-end Pharma R&D - commercial - population health, machine learning platform for early diagnosis, disease progression, and therapeutic impact measurement."
Shannon Labs,"To start up a R&D for my ideas and others needing CAD/CAM, programing, machining, development and testing, supported by a base product."
American Video Game League,The AVGL offers video game players a competitive atmosphere to compete in-person for cash prizes within an organized league.
Alouette Construction,Whatever structure exists in your house is enough to turn it into your dream home
Apptomics LLC,Apptomics LLC provides health integrated solutions for neurological conditions.
Gamenetech,"Gamenetech offers fun rewarding networking experiences available to everyone with a beautiful, simple UI  fun rewards, and progress trackers"
Gamer Sensei,"Gamer Sensei is the world’s premiere mastery platform for players who want to win more in their favorite online games. Gamer Sensei’s coaches are among the best pro gamers in the world, each matched with students via a patent-pending algorithm. Gamer Sensei coaches provide personalized lessons to help gamers of all skill levels in their quest to make epic plays."
JIREH PROPERTIES CORPORATION,"Inv Opp in OIL & GAS, the EAGLE FORD FORMATION in TEXAS & the BAKKEN oil & gas discovery in N.Dakota. 14% ANNUAL DIVIDEND. PLEASE SEE PPM."
JM Appliance,JM Appliance Service provides residential appliance service and repair in Worcester Massachusetts (MA). We perform repairs for all major and minor household.
Mary J List,If Craig and Angie got together and had a kid their child's name would be Mary J List hence Mary J List.com Check us out for all things cannabis!!!
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
lallitara,lallitara is an apparel and accessories brand that revolutionizes fashion every step of the way.
Doug Fleener,"Information and resources from retail and customer experience expert, consultant, and keynote speaker Doug Fleener."
Catalytic Innovations,Catalytic Innovations develops electrolysis technology to clean up our air and environment.
ArtVenue,ArtVenue makes it easy for artists to show and sell their artwork on the walls of local businesses. QR codes let you buy with a smartphone!
Little Rascals of Cape Cod Family Daycare,"Cpr/first aid certified.  I have been a provider for 6 years and find it rewarding to watch the children learn, grow and feel nurtured and loved in our care."
Standard Medicine,Early detection of cancer with an inexpensive yearly test of DNA in urine
WAMBUI PUBLICATIONS,"Bought a 1979 Peugeot 504 in 2002 that has attracted a lot of attention in Massachusetts. Have been renting it for weddings, marketing, advertising and promo..."
eyeglassX.com,eyeglassX.com brings you exclusive deals on extraordinary eyewear online.
General Enchantment,Dreaming up innovative ways to bridge the gap between the physical and digital world.
Cloud Connected Financial,Salesforce of the Forex Industry.  Revolutionizing the way Retail Forex Brokers manage their operations with a unified platform that consolidates operations.
Technewsrelated,Get Latest Technology and IOT News Online 2018
DJ Jack Barros,Jack Barros is a full time Worcester Wedding DJ that has entertained thousands of guests at functions over the past thirty years.
Boston & Maine Fish Co,Come enjoy our mouth-watering menu featuring the fresh caught Maine Steamed Lobster and the delicious award-winning New England Clam Chowder.
Alere Wellogic,"Wellogic is the health information solutions arm of Alere, one of the world's largest healthcare companies."
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
WAMBUI PUBLICATIONS,"Bought a 1979 Peugeot 504 in 2002 that has attracted a lot of attention in Massachusetts. Have been renting it for weddings, marketing, advertising and promo..."
Bootcoder,Bootcoder helps users who are looking to change into a technology related field locate the best online and in person course or programming bootcamp.
LegWirk,Bridging the gap between manufacturer sales reps and retail stores. LegWirk helps sales people sell better by doing all of the legwork.
SemantX,"Universally accessible, cost effective healthcare data exchange."
LF Connecting,"People leaving or visiting Boston really want to discover the city from a local eye, they want to feel the city vibe, they want to mingle with the locals."
invisaWear,"invisaWear creates smart jewelry and accessories that allow users to instantly alert friends, family, and police during an emergency."
Artisan Organics,Artisan Organics
nepdllc.com,Hi. My name is Robert G. Rice.  The name of my company is Northeast Property Development LLC.  We buy commercial and residential real estate in emerging markets
Censio,Censio’s first product is a smartphone app that helps people drive safely and save money on car insurance by tracking driving habits.
Lilly Homes - Inspired by Every Day Living,Lilly Homes prides itself on being a team with professionalism.
